iter	Passed	Remaining
466	751	857
467	753	856
468	755	855
469	757	854
470	758	852
471	760	850
472	761	848
473	762	846
474	763	844
475	765	842
476	767	840
477	768	839
478	770	837
479	771	835
480	772	833
481	774	832
482	776	830
483	777	828
484	778	826
485	779	824
486	781	822
487	783	821
488	784	819
489	785	817
490	786	815
491	787	813
492	789	811
493	790	809
494	791	807
495	792	805
496	793	802
497	794	800
498	795	799
499	797	797
500	798	795
501	799	792
502	800	790
503	801	788
504	802	786
505	803	784
506	804	782
507	805	780
508	806	778
509	807	776
510	809	774
511	811	773
512	812	771
513	813	769
514	815	767
515	816	765
516	817	763
517	818	761
518	819	759
519	820	757
520	821	755
521	823	754
522	824	752
523	825	750
524	826	748
525	827	746
526	828	744
527	830	742
528	831	740
529	832	737
530	833	735
531	834	734
532	835	732
533	837	730
534	838	729
535	839	727
536	841	725
537	842	723
538	843	721
539	844	719
540	846	717
541	847	716
542	849	714
543	850	713
544	852	711
545	853	709
546	854	707
547	855	705
548	856	703
549	857	701
550	858	699
551	859	697
552	861	696
553	862	694
554	863	692
555	864	690
556	866	688
557	867	687
558	868	685
559	869	683
560	870	681
561	871	679
562	872	677
563	873	675
564	875	673
565	876	671
566	877	670
567	879	668
568	880	666
569	881	665
570	882	663
571	883	661
572	884	659
573	885	657
574	887	655
575	888	653
576	889	652
577	890	650
578	891	648
579	892	646
580	894	645
581	895	643
582	896	641
583	897	639
584	898	637
585	899	635
586	901	633
587	902	632
588	903	630
589	904	628
590	905	626
591	906	624
592	908	623
593	909	621
594	910	619
595	911	618
596	913	616
597	914	614
598	915	612
599	916	610
600	917	609
601	918	607
602	919	605
603	921	603
604	922	602
605	923	600
606	924	598
607	925	596
608	926	595
609	927	593
610	928	591
611	929	589
612	931	587
613	932	586
614	933	584
615	936	583
616	938	582
617	939	580
618	940	578
619	941	577
620	942	575
621	943	573
622	944	571
623	945	569
624	947	568
625	948	566
626	950	565
627	951	563
628	953	562
629	954	560
630	955	559
631	957	557
632	958	555
633	959	554
634	960	552
635	962	550
636	964	549
637	966	548
638	967	546
639	968	544
640	970	543
641	971	541
642	972	539
643	973	538
644	974	536
645	976	534
646	977	533
647	978	531
648	979	529
649	980	528
650	981	526
651	983	524
652	984	522
653	985	521
654	986	519
655	987	517
656	988	515
657	989	514
658	991	513
659	993	511
660	994	510
661	996	508
662	998	507
663	999	505
664	1000	504
665	1001	502
666	1003	500
667	1005	499
668	1006	497
669	1007	496
670	1008	494
671	1009	492
672	1010	491
673	1011	489
674	1012	487
675	1014	486
676	1015	484
677	1016	482
678	1017	480
679	1018	479
680	1020	477
681	1021	476
682	1022	474
683	1023	472
684	1024	471
685	1026	469
686	1027	468
687	1028	466
688	1029	464
689	1031	463
690	1032	461
691	1033	460
692	1034	458
693	1035	456
694	1037	455
695	1038	453
696	1040	452
697	1041	450
698	1042	449
699	1044	447
700	1045	445
701	1046	444
702	1048	442
703	1048	441
704	1053	440
705	1054	439
706	1055	437
707	1057	435
708	1058	434
709	1059	432
710	1060	431
711	1061	429
712	1063	427
713	1064	426
714	1065	424
715	1066	423
716	1067	421
717	1069	419
718	1070	418
719	1071	416
720	1072	414
721	1073	413
722	1077	412
723	1078	411
724	1079	409
725	1080	407
726	1082	406
727	1083	404
728	1084	403
729	1086	401
730	1087	400
731	1088	398
732	1089	396
733	1091	395
734	1092	393
735	1093	392
736	1094	390
737	1095	389
738	1097	387
739	1098	385
740	1099	384
741	1100	382
742	1101	380
743	1102	379
744	1104	377
745	1105	376
746	1106	374
747	1107	373
748	1108	371
749	1110	370
750	1111	368
751	1112	366
752	1113	365
753	1114	363
754	1116	362
755	1118	360
756	1119	359
757	1120	357
758	1122	356
759	1123	354
760	1124	353
761	1125	351
762	1126	349
763	1127	348
764	1129	346
765	1130	345
766	1132	344
767	1134	342
768	1135	341
769	1136	339
770	1138	338
771	1139	336
772	1140	334
773	1141	333
774	1142	331
775	1143	330
776	1145	328
777	1147	327
778	1148	325
